cve_id,year,cwe,cvss_v3,cvss_v3_severity,cvss_v2,cvss_source,threat_ids,overlap_flag
CVE-2022-1700,2022,CWE-611,7.5,HIGH,,v3.1,P-10|P-20,true
CVE-2022-4428,2023,CWE-20,8.9,HIGH,,v3.1,P-10,false
CVE-2022-45588,2023,CWE-611,7.8,HIGH,,v3.1,P-10,false
CVE-2023-3569,2023,CWE-776,4.9,MEDIUM,,v3.1,P-10,false
CVE-2024-25724,2024,CWE-120,7.3,HIGH,,v3.1,P-10,false
CVE-2023-49110,2024,CWE-611,7.2,HIGH,,v3.1,P-10|P-20,true
CVE-2024-55156,2025,CWE-134,5.5,MEDIUM,,v3.1,P-10,false
CVE-2025-26484,2025,CWE-611,5.5,MEDIUM,,v3.1,P-10|P-21,true
CVE-2025-6985,2025,CWE-611,7.5,HIGH,,v3.0,P-10,false
CVE-2022-23610,2022,CWE-347,9.1,CRITICAL,5.1,v3.1,P-10,false
CVE-2020-36563,2022,CWE-347,5.3,MEDIUM,,v3.1,P-10,false
CVE-2023-34205,2023,CWE-347,9.1,CRITICAL,,v3.1,P-10,false
CVE-2023-49087,2023,CWE-345,6.8,MEDIUM,,v3.1,P-10,false
CVE-2024-32962,2024,CWE-347,10.0,CRITICAL,,v3.1,P-10,false
CVE-2024-6800,2024,CWE-347,9.8,CRITICAL,,v3.1,P-10,false
CVE-2024-8698,2024,CWE-347,7.7,HIGH,,v3.1,P-10,false
CVE-2024-47832,2024,CWE-347,9.8,CRITICAL,,v3.1,P-10,false
CVE-2025-24894,2025,CWE-287,9.1,CRITICAL,,v3.1,P-10,false
CVE-2025-24895,2025,CWE-287,9.1,CRITICAL,,v3.1,P-10,false
CVE-2025-25291,2025,CWE-347,9.8,CRITICAL,,v3.1,P-10,false
CVE-2025-25292,2025,CWE-347,9.8,CRITICAL,,v3.1,P-10,false
CVE-2025-47949,2025,CWE-347,7.5,HIGH,,v3.1,P-10,false
CVE-2025-40934,2025,CWE-347,9.3,CRITICAL,,v3.1,P-10,false
CVE-2025-66567,2025,CWE-347,9.1,CRITICAL,,v3.1,P-10,false
CVE-2025-66568,2025,CWE-347,9.1,CRITICAL,,v3.1,P-10,false
CVE-2025-49493,2025,CWE-611,5.8,MEDIUM,,v3.1,P-10,false
CVE-2021-39014,2023,CWE-79,6.4,MEDIUM,,v3.1,P-14,false
CVE-2023-46738,2024,CWE-770,6.5,MEDIUM,,v3.1,P-14,false
CVE-2025-1284,2025,CWE-639,4.3,MEDIUM,,v3.1,P-14,false
CVE-2025-4692,2025,CWE-266,6.8,MEDIUM,,v3.1,P-14,false
CVE-2022-41831,2023,CWE-79,5.4,MEDIUM,,v3.1,P-14,false
CVE-2023-46633,2025,CWE-862,5.4,MEDIUM,,v3.1,P-14,false
CVE-2021-44142,2022,CWE-125,8.8,HIGH,9.0,v3.1,P-14,false
CVE-2021-32966,2022,CWE-319,3.7,LOW,4.3,v3.1,P-14,false
CVE-2023-21927,2023,NVD-CWE-noinfo,4.3,MEDIUM,,v3.1,P-14,false
CVE-2023-45683,2023,CWE-79,7.1,HIGH,,v3.1,P-14,false
CVE-2024-46984,2024,CWE-611,8.6,HIGH,,v3.1,P-14,false
CVE-2024-50589,2024,CWE-306,7.5,HIGH,,v3.1,P-14,false
CVE-2024-47853,2025,NVD-CWE-noinfo,8.8,HIGH,,v3.1,P-14,false
CVE-2021-29859,2022,NVD-CWE-noinfo,6.8,MEDIUM,4.6,v3.1,P-15|P-22,true
CVE-2021-42849,2022,CWE-798,6.8,MEDIUM,4.6,v3.1,P-15,false
CVE-2021-42850,2022,CWE-798,8.8,HIGH,4.6,v3.1,P-15,false
CVE-2022-21503,2022,NVD-CWE-noinfo,4.9,MEDIUM,4.0,v3.1,P-15|P-20,true
CVE-2022-31098,2022,CWE-532,9.0,CRITICAL,4.3,v3.1,P-15|P-22,true
CVE-2021-38941,2022,NVD-CWE-noinfo,8.1,HIGH,5.5,v3.1,P-15,false
CVE-2022-34379,2022,CWE-287,9.4,CRITICAL,,v3.1,P-15,false
CVE-2022-23508,2023,CWE-284,8.8,HIGH,,v3.1,P-15,false
CVE-2023-22598,2023,CWE-78,7.2,HIGH,,v3.1,P-15|P-22,true
CVE-2023-26358,2023,CWE-426,8.6,HIGH,,v3.1,P-15|P-20,true
CVE-2023-28045,2023,CWE-311,6.3,MEDIUM,,v3.1,P-15|P-20,true
CVE-2023-32717,2023,CWE-285,4.3,MEDIUM,,v3.1,P-15,false
CVE-2022-22302,2023,CWE-312,5.3,MEDIUM,,v3.1,P-15,false
CVE-2023-22515,2023,NVD-CWE-noinfo,9.8,CRITICAL,,v3.1,P-15|P-20,true
CVE-2023-6221,2024,CWE-306,7.7,HIGH,,v3.1,P-15,false
CVE-2024-1385,2024,CWE-862,7.1,HIGH,,v3.1,P-15,false
CVE-2024-38482,2024,CWE-703,6.6,MEDIUM,,v3.1,P-15|P-20,true
