cve_id,year,cwe,cvss_v3,cvss_v3_severity,cvss_v2,cvss_source,threat_ids,overlap_flag
CVE-2020-6100,2020,CWE-787,9.9,CRITICAL,6.5,v3.1,P-01,false
CVE-2020-2243,2020,CWE-79,5.4,MEDIUM,3.5,v3.1,P-01,false
CVE-2020-24045,2020,CWE-345,7.2,HIGH,9.0,v3.1,P-01,false
CVE-2021-3653,2021,CWE-862,8.8,HIGH,6.1,v3.1,P-01,false
CVE-2014-8891,2015,NVD-CWE-noinfo,,,10.0,v2_only,P-01,false
CVE-2018-1185,2018,CWE-78,6.7,MEDIUM,7.2,v3.1,P-01,false
CVE-2018-12223,2019,CWE-732,6.3,MEDIUM,4.6,v3.0,P-01,false
CVE-2021-44078,2021,CWE-697,8.1,HIGH,6.9,v3.1,P-01,false
CVE-2012-3515,2012,CWE-20,,,7.2,v2_only,P-01,false
CVE-2019-18389,2019,CWE-787,7.8,HIGH,4.6,v3.1,P-01,false
CVE-2021-24980,2021,CWE-79,6.1,MEDIUM,4.3,v3.1,P-01,false
CVE-2014-3608,2014,CWE-399,,,2.7,v2_only,P-02,false
CVE-2016-4924,2017,CWE-275,8.4,HIGH,1.7,v3.0,P-02,false
CVE-2019-1919,2019,CWE-798,8.4,HIGH,7.2,v3.0,P-02|P-04,true
CVE-2020-15229,2020,CWE-22,8.2,HIGH,5.8,v3.1,P-02,false
CVE-2019-5587,2019,CWE-345,6.5,MEDIUM,4.0,v3.1,P-02,false
CVE-2020-2025,2020,CWE-284,8.8,HIGH,4.6,v3.1,P-02,false
CVE-2012-2186,2012,NVD-CWE-Other,,,9.0,v2_only,P-02,false
CVE-2020-11483,2020,CWE-798,9.8,CRITICAL,7.5,v3.1,P-02,false
CVE-2020-11484,2020,NVD-CWE-noinfo,4.9,MEDIUM,4.0,v3.1,P-02,false
CVE-2020-11485,2020,CWE-352,8.8,HIGH,6.8,v3.1,P-02,false
CVE-2020-11486,2020,CWE-434,9.8,CRITICAL,7.5,v3.1,P-02,false
CVE-2020-11487,2020,CWE-798,7.5,HIGH,5.0,v3.1,P-02,false
CVE-2020-11488,2020,CWE-347,6.7,MEDIUM,4.6,v3.1,P-02,false
CVE-2020-11489,2020,CWE-1188,7.5,HIGH,5.0,v3.1,P-02,false
CVE-2020-11615,2020,CWE-798,7.5,HIGH,5.0,v3.1,P-02,false
CVE-2020-11616,2020,CWE-338,7.5,HIGH,5.0,v3.1,P-02,false
CVE-2021-35312,2021,CWE-276,7.8,HIGH,7.2,v3.1,P-02,false
CVE-2021-31844,2021,CWE-120,8.2,HIGH,4.6,v3.1,P-02,false
CVE-2021-31845,2021,CWE-120,8.4,HIGH,6.0,v3.1,P-02,false
CVE-2015-2877,2017,CWE-200,3.3,LOW,2.1,v3.1,P-03,false
CVE-2018-10846,2018,CWE-385,5.6,MEDIUM,1.9,v3.1,P-03|P-08,true
CVE-2010-1138,2010,CWE-200,,,5.0,v2_only,P-04,false
CVE-2010-2981,2010,NVD-CWE-Other,,,7.1,v2_only,P-04,false
CVE-2013-1208,2013,CWE-310,,,5.8,v2_only,P-04,false
CVE-2012-4115,2013,CWE-310,,,5.8,v2_only,P-04,false
CVE-2014-2625,2014,CWE-22,,,8.5,v2_only,P-04,false
CVE-2014-2626,2014,CWE-22,,,9.4,v2_only,P-04,false
CVE-2015-2121,2015,CWE-200,,,7.8,v2_only,P-04,false
CVE-2015-7295,2015,CWE-119,,,5.0,v2_only,P-04,false
